id,genre,track_name,artist_name,danceability,valence,energy,tempo
4Jgp57InfWE4MxJLfheNVz,alternative,Champagne Supernova,Oasis,0.301,0.116,0.869,150.518
42et6fnHCw1HIPSrdPprMl,alternative,Semi-Charmed Life,Third Eye Blind,0.64,0.701,0.864,102.026
6MDTpYxPFL0wtFd0pjfKws,alternative,Rhythm Of Love,Plain White T's,0.531,0.726,0.542,171.878
5zF2zGPkL6Ipsn9AfAK6RP,alternative,This Love,Maroon 5,0.714,0.78,0.868,95.05
0wqOReZDnrefefEsrIGeR4,alternative,Hanging By A Moment,Lifehouse,0.541,0.435,0.864,124.557
3FtYbEfBqAlGO46NUDQSAt,alternative,Electric Feel,MGMT,0.763,0.561,0.803,103.04
0gfBM40Ak48n7wrA0qTZPn,alternative,On & On,Fossil Collective,0.518,0.508,0.713,131.965
11nv53N7ZnNTCgyl8yxvYd,alternative,Cannonball,The Breeders,0.506,0.745,0.761,112.511
1F2Ca0Cfo7DcdieWlZEqzc,alternative,Ready to Start,Arcade Fire,0.238,0.541,0.93,188.257
3tCwjWLicbjsMCvXhN0WOE,alternative,Rude,MAGIC!,0.743,0.899,0.807,144.062
0ucps9UAU7I7MmTbnk2YaK,alternative,Ash Tree Lane,MS MR,0.583,0.392,0.896,100.034
1YI0uK36eupTmw9F8kHysr,alternative,Sunday Morning,Maroon 5,0.607,0.805,0.76,88.059
3dw0A0cbqT6Oy2V8KfGwIT,alternative,Tiptoe,Imagine Dragons,0.527,0.25,0.82,120.041
3HfB5hBU0dmBt8T0iCmH42,alternative,Creep,Radiohead,0.532,0.126,0.344,91.834
6vSq5q5DCs1IvwKIq53hj2,alternative,Animal,Miike Snow,0.774,0.654,0.721,118.048
2xwedMsRwKEtLos3oN5pt9,alternative,Reunion,M83,0.431,0.315,0.82,124.028
7DFNE7NO0raLIUbgzY2rzm,alternative,Let Her Go,Passenger,0.509,0.244,0.538,75.089
5nWbbQ0sIEabqPxAdqmh66,alternative,Sweet Disposition,Various Artists,0.54,0.347,0.804,129.088
52a6VcF23v5HB7KfDEmBHq,alternative,Carried Away,Passion Pit,0.772,0.871,0.826,119.995
0KNVDEeZWXZPIYKqJeRRpX,alternative,If You Wanna,The Vaccines,0.352,0.544,0.866,165.209
5SrnKN9CdGLLHIOUQMHNod,alternative,Vasoline,Stone Temple Pilots,0.296,0.324,0.989,168.894
7nnWIPM5hwE3DaUBkvOIpy,alternative,Drive,Incubus,0.645,0.666,0.792,90.565
2D1uFfnp5ylRPNYbdEa5Kv,alternative,Life on the Nickel,Foster The People,0.694,0.74,0.951,120.014
1WZKMwSkcRJRMhpT6qW8Tx,alternative,Fog of War,Young Dreams,0.53,0.224,0.645,137.863
437h9GRi70A1BzMzh4cyra,alternative,From Finner,Of Monsters and Men,0.375,0.182,0.657,96.041
1Dr1fXbc2IxaK1Mu8P8Khz,alternative,When I Come Around,Green Day,0.531,0.814,0.909,97.546
3GfOAdcoc3X5GPiiXmpBjK,alternative,Song 2,Blur,0.658,0.855,0.709,129.699
48O6kz322Dzu1R6Al5147q,alternative,MakeDamnSure,Taking Back Sunday,0.553,0.432,0.837,140.495
3GvjSNnV16MKMR9cgibIwe,alternative,Another One,The Features,0.642,0.888,0.805,117.669
3mga1z1FesVlx87hYPwLTf,alternative,Screaming Skull,King Tuff,0.351,0.674,0.863,147.477
2zrIyIdqafYozfsgiMY0Ae,alternative,Supermassive Black Hole,Muse,0.671,0.865,0.865,120.011
0z5Ab6KNkCOwahHmQVyZSA,alternative,Moth Wings,Pond,0.186,0.481,0.944,160.184
6gkD0tbTaBy9t6meSK4aIL,alternative,Jumper,Third Eye Blind,0.609,0.632,0.542,91.066
1OppUXF0ZsVATRbEyHOTyA,alternative,Cha-Ching (Till We Grow Older),Imagine Dragons,0.515,0.134,0.867,129.971
19OUs1NzU15Fe3oSIeTuyG,alternative,Club Foot,Kasabian,0.433,0.115,0.912,102.382
7e8utCy2JlSB8dRHKi49xM,alternative,Fluorescent Adolescent,Arctic Monkeys,0.646,0.821,0.813,112.115
3pxDFUN3LrSGq6RrUKHtaG,alternative,Cardiac Arrest,Bad Suns,0.616,0.751,0.88,94.011
1e5grnGb7YIcX9EuJM1mtB,alternative,Higher,Creed,0.46,0.448,0.822,155.766
1tT1tIZAINzFZyjoPKtg7C,alternative,Dammit,Various Artists,0.347,0.287,0.975,110.487
7jqzZyJJLrpkRFYGpkqSK6,alternative,Breathe Me,Sia,0.552,0.212,0.643,120.012
37CBHPCzV1rizPrxRUyR72,alternative,No You Girls,Franz Ferdinand,0.679,0.899,0.909,104.781
57BrRMwf9LrcmuOsyGilwr,alternative,Crawling,Linkin Park,0.58,0.299,0.702,105.076
38xWaVFKaxZlMFvzNff2aW,alternative,Breakeven,The Script,0.627,0.535,0.699,94.003
0UZwcRQAk4QR09HtGRZhYC,alternative,Closer To The Edge,Thirty Seconds To Mars,0.502,0.102,0.948,139.979
5loRrMg0iqxgIhDdmMqJyv,ambient,Facing East,Thievery Corporation,0.696,0.549,0.954,99.01
54QFGiOthVqXeJtiXdlLYa,ambient,Beyond This Moment,Patrick O'Hearn,0.559,0.461,0.23,151.987
3A3SNl2OsYO6As6c4VUS8y,ambient,20 minutes,Carbon Based Lifeforms,0.217,0.0738,0.181,139.914
5W1Z5Z1xPbV5OUthL4yVr3,ambient,Sparrowfall (3) - 2005 Digital Remaster,Brian Eno,0.35,0.16,0.351,70.237
4upUGbQVqH0qlhEmCM79f1,ambient,Second Narrows,Loscil,0.342,0.146,0.215,119.954
1HQBJn15KYL902c7PHDYPK,ambient,Monochrome Existence (Track 1),Bill Laswell and Tetsu Inoue,0.0675,0.0344,0.0578,72.449
5z88Jo2GRks9N0I36AtnAh,ambient,Forgive,Burial,0.212,0.04,0.331,92.238
3pegwzmIu6j8rWq6G7z8Np,ambient,Invisible,Grouper,0.39,0.0424,0.356,85.811
7e0HabMAjQEYduI1qfYS5r,ambient,Risky Nap Under Blue Tree,Cell,0.401,0.0339,0.186,99.995
4sEG0E3IBQHp6V2DGTnXNX,ambient,Held together by gravity,Carbon Based Lifeforms,0.234,0.0527,0.374,66.139
116nJvcN1RB2UF2VuIyObG,ambient,Uva-ursi,Biosphere,0.626,0.286,0.249,97.036
4ndxvwmOqdQKG1ze16vn9j,ambient,The Day I Would Never Have,Deaf Center,0.191,0.0392,0.154,112.881
5omoZuexWhyFQyh8h92fof,ambient,9:25,Global Communication,0.529,0.0548,0.559,171.957
4kYoZAi6P7yXNM1Bjbf4ST,ambient,Humectez La Mouture,Stars Of The Lid,0.132,0.0343,0.0371,67.874
6pe8ENsc20Qrib5vgOrFGx,ambient,The Birth And Death Of The Day,Explosions In The Sky,0.131,0.0392,0.569,177.06
1cdf1zudJQ6vNqATITlYUG,ambient,Friedel,Helios,0.584,0.0514,0.396,140.023
0BSJ1iQEmGibLCPMHGtdo7,ambient,Lost In Thought,Jon Hopkins,0.619,0.201,0.318,150.367
6Rkr9b1ooiIgcebMRATPhD,ambient,Lesser Heaven,Brian Eno,0.151,0.0377,0.129,170.548
3BO3R8SLyb9cfSCgk1kXUl,ambient,Happiness,Jónsi,0.147,0.0384,0.247,138.457
7dU4TLTzGZk9FroEGlMbFi,ambient,Stay with Me (feat. Kronos Quartet),Clint Mansell,0.102,0.113,0.148,84.272
4HkJr31bgEdCtEHpasC7Jz,ambient,Unity,Bvdub,0.075,0.0377,0.6,200.024
18XxXHR2YPCvGEZA2fexUC,ambient,Arecibo,Carbon Based Lifeforms,0.103,0.0709,0.326,70.604
6vgOqn7w9SaepGlAQqbfMW,ambient,Losing You to You,Hammock,0.372,0.107,0.309,116.006
4SxoponB2oxqjuOSNYhTjb,ambient,All In Forms,Bonobo,0.701,0.586,0.557,109.995
1R8yRnLBJJbPPwLBZgEcp9,ambient,Elegy,Tycho,0.535,0.171,0.417,120.099
7Kz3cJFlZfhGvyD1KZZmX0,ambient,Divided,Deaf Center,0.172,0.0369,0.324,115.858
5mtuOStn5Ntl6BkI5M8gji,ambient,Woods And Gives Away (Instrumental),Helios,0.3,0.0392,0.18,109.699
3szv1wBCcMXFx7GdPNm721,ambient,The Last Door,Brian Eno,0.29,0.0632,0.0676,122.584
74lavnySEWB8iXb1kIfR3N,ambient,Floating Away in Every Direction,Hammock,0.255,0.0572,0.473,145.845
5jDZmeig1f7c0Sz8xSiocb,ambient,Sky Trees,Solar Fields,0.355,0.0305,0.316,99.908
1Qq3prahymiO6FlKoT7JPC,ambient,Breathing Place,Vibrasphere,0.553,0.529,0.814,134.005
7zjWtWDCNgeXSY78nLzBQJ,ambient,Digging Shelters,Neil Halstead,0.513,0.279,0.274,76.375
5hfG9ztj7AMC4hv1z2CYXK,ambient,Warmed By the Drift,Biosphere,0.156,0.115,0.197,78.354
7kWpOpzvgGwLjtK7EgEjQG,ambient,Something Other Than Remaining,Hammock,0.172,0.106,0.315,119.085
2XQSgmtEY2titXhfY414dy,ambient,Roygbiv,Boards of Canada,0.631,0.118,0.521,84.033
